"","lhs","op","rhs","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox"
"65","M_7","~~","M_dur",0.0048686819503432,0.000800528221556164,6.08183674134418,1.18813514582428e-09,0.00329967546748521,0.00643768843320118,0.455158525527003,0.455158525527003,0.455158525527003
"66","M_7","~~","M_ddur",0,0,NA,NA,0,0,0,0,0
"67","M_7","~~","M_count",0,0,NA,NA,0,0,0,0,0
"68","M_dur","~~","M_ddur",0,0,NA,NA,0,0,0,0,0
"69","M_dur","~~","M_count",0,0,NA,NA,0,0,0,0,0
"70","M_count","~~","M_ddur",0.0127518560780438,0.00185057245396934,6.8907629369993,5.54933876628638e-12,0.00912480071748198,0.0163789114386056,0.967990791061939,0.967990791061939,0.967990791061939
"71","T_call","~~","M_5",0,0,NA,NA,0,0,0,0,0
"72","T_msg","~~","M_5",0,0,NA,NA,0,0,0,0,0
"73","T_phot","~~","M_5",0,0,NA,NA,0,0,0,0,0
"74","T_sm","~~","M_5",0,0,NA,NA,0,0,0,0,0
"75","T_web","~~","M_5",0,0,NA,NA,0,0,0,0,0
"76","T_call","~~","M_7",0,0,NA,NA,0,0,0,0,0
"77","T_msg","~~","M_7",0,0,NA,NA,0,0,0,0,0
"78","T_phot","~~","M_7",0,0,NA,NA,0,0,0,0,0
"79","T_sm","~~","M_7",0,0,NA,NA,0,0,0,0,0
"80","T_web","~~","M_7",0,0,NA,NA,0,0,0,0,0
"81","T_call","~~","M_dur",0,0,NA,NA,0,0,0,0,0
"82","T_msg","~~","M_dur",0,0,NA,NA,0,0,0,0,0
"83","T_phot","~~","M_dur",0,0,NA,NA,0,0,0,0,0
"84","T_sm","~~","M_dur",0,0,NA,NA,0,0,0,0,0
"85","T_web","~~","M_dur",0,0,NA,NA,0,0,0,0,0
"86","T_call","~~","M_ddur",0,0,NA,NA,0,0,0,0,0
"87","T_msg","~~","M_ddur",0,0,NA,NA,0,0,0,0,0
"88","T_phot","~~","M_ddur",0,0,NA,NA,0,0,0,0,0
"89","T_sm","~~","M_ddur",0,0,NA,NA,0,0,0,0,0
"90","T_web","~~","M_ddur",0,0,NA,NA,0,0,0,0,0
"91","T_call","~~","M_count",0,0,NA,NA,0,0,0,0,0
"92","T_msg","~~","M_count",0,0,NA,NA,0,0,0,0,0
"93","T_phot","~~","M_count",0,0,NA,NA,0,0,0,0,0
"94","T_sm","~~","M_count",0,0,NA,NA,0,0,0,0,0
"95","T_web","~~","M_count",0,0,NA,NA,0,0,0,0,0
"96","msg_count_d","~~","msg_dur_d",0.0309330049388417,0.00178199833719087,17.358604827659,0,0.0274403523774373,0.0344256575002461,0.0309330049388417,0.900264272540396,0.900264272540396
"97","call_5_s","~~","call_5_s",0.0532925189307709,0.0029581605514935,18.015424789525,0,0.0474946307893565,0.0590904070721853,0.0532925189307709,0.647667433783138,0.647667433783138
"98","call_7_s","~~","call_7_s",0.0408460110993317,0.00235635796286796,17.334382866692,0,0.0362276343574263,0.045464387841237,0.0408460110993317,0.638731641843963,0.638731641843963
"99","call_dur_s","~~","call_dur_s",0.0122742341582256,0.000691892612124445,17.7400855900712,0,0.0109181495572924,0.0136303187591589,0.0122742341582256,0.542301603659481,0.542301603659481
"100","call_count_d","~~","call_count_d",2.59495826527235e-05,0.00127898479043234,0.0202892034736016,0.983812668395682,-0.00248081454336918,0.00253271370867462,2.59495826527235e-05,0.000399976422516199,0.000399976422516199
"101","call_dur_d","~~","call_dur_d",0.00802961988028742,0.000803407993530597,9.99444858023015,0,0.00645496914807586,0.00960427061249898,0.00802961988028742,0.186064712222846,0.186064712222846
"102","msg_5_s","~~","msg_5_s",0.0174936786338892,0.00168129013731944,10.4049136110322,0,0.0141984105171807,0.0207889467505977,0.0174936786338892,0.405431175089912,0.405431175089912
"103","msg_7_s","~~","msg_7_s",0.00697276131662194,0.00166168884877625,4.19618951030275,2.71443146315775e-05,0.00371591101950868,0.0102296116137352,0.00697276131662194,0.256104645510556,0.256104645510556
"104","msg_dur_s","~~","msg_dur_s",0.00720850195527278,0.000804533856505086,8.95984910639645,0,0.0056316445721797,0.00878535933836587,0.00720850195527278,0.25233298532665,0.25233298532665
"105","msg_count_d","~~","msg_count_d",0.0364822595358495,0.00200891604077057,18.1601713538291,0,0.0325448564479744,0.0404196626237246,0.0364822595358495,0.822551948164524,0.822551948164524
"106","msg_dur_d","~~","msg_dur_d",0.032361039433894,0.00174472039678628,18.5479802342552,0,0.0289414502931004,0.0357806285746875,0.032361039433894,0.901674423529798,0.901674423529798
"107","phot_5_s","~~","phot_5_s",0.0181620773461594,0.00474533198311891,3.82735652864106,0.000129526836067484,0.00886139756456029,0.0274627571277585,0.0181620773461594,0.270246781594669,0.270246781594669
"108","phot_7_s","~~","phot_7_s",0.0130323588124033,0.00272848920247506,4.77640109426911,1.78460265609637e-06,0.0076846182433458,0.0183800993814609,0.0130323588124033,0.281501770811366,0.281501770811366
"109","phot_dur_s","~~","phot_dur_s",0.00741860403234105,0.000585469951557788,12.6711951870493,0,0.00627110401325738,0.00856610405142473,0.00741860403234105,0.331066461528246,0.331066461528246
"110","phot_count_d","~~","phot_count_d",0.00271588521922779,0.000619434576113309,4.3844585432554,1.16274622534718e-05,0.00150181575926687,0.00392995467918871,0.00271588521922779,0.0542972453163704,0.0542972453163704
"111","phot_dur_d","~~","phot_dur_d",0.00200351262256955,0.000653234477821885,3.06706502885452,0.0021617182342617,0.000723196572578827,0.00328382867256027,0.00200351262256955,0.0527427716491821,0.0527427716491821
